id,name,category,subcategory,rarity,professions,region,short_summary,icon
31419,Mossy Liniment,Consumable,Food,Common,Woodworking,Glimmerdeep,"Glimmerdeep food consumable: common among dockhands, often a armor patching.",consumable_mossy_liniment.png
31420,Harbor-wet Ring of Frost,Gear,Staff,Common,Cooking,Greatwood,"Greatwood staff gear: favored by local scouts, often a camp utility.",gear_harbor_wet_ring_of_frost.png
31421,Mire-touched Seed,Ingredient,Meat,Common,Skinning,Saltmarrow,"Saltmarrow meat ingredient: common among dockhands, often a alchemy base.",ingredient_mire_touched_seed.png
31422,Sturdy Memo,Document,Letter,Common,None,Glimmerdeep,"Glimmerdeep letter document: packed for storms, often a map clue.",document_sturdy_memo.png
31423,Faded Elixir,Consumable,Salve,Common,Herbalism,Glimmerdeep,"Glimmerdeep salve consumable: smells faintly of cedar, often a vendor staple.",consumable_faded_elixir.png
31424,Iron-banded Note,Document,Letter,Common,None,Emberford,"Emberford letter document: rings softly when shaken, often a fishing bait.",document_iron_banded_note.png
31425,River-smooth Permit,Document,Ledger,Uncommon,None,Glimmerdeep,"Glimmerdeep ledger document: carried for long treks, often a trap component.",document_river_smooth_permit.png
31426,Candle-smoke Cowl of the Trail,Gear,Trinket,Uncommon,Blacksmithing,Glimmerdeep,"Glimmerdeep trinket gear: a staple in cold camps, often a trap component.",gear_candle_smoke_cowl_of_the_trail.png
31427,Mire-touched Pellet,Consumable,Food,Uncommon,Blacksmithing,Frostbriar,"Frostbriar food consumable: favored by local scouts, often a ritual prop.",consumable_mire_touched_pellet.png
31428,Faded Marker,Curio,Charm,Rare,None,Greatwood,"Greatwood charm curio: favored by local scouts, often a ritual prop.",curio_faded_marker.png
31429,Windworn Roster,Document,Letter,Uncommon,None,Emberford,"Emberford letter document: valued for its clean burn, often a armor patching.",document_windworn_roster.png
31430,Faded Pellet,Consumable,Food,Common,Herbalism,Saltmarrow,"Saltmarrow food consumable: favored by local scouts, often a buff ingredient.",consumable_faded_pellet.png
31431,Salt-stained Sash of Moss,Gear,Bow,Common,None,Frostbriar,"Frostbriar bow gear: rings softly when shaken, often a buff ingredient.",gear_salt_stained_sash_of_moss.png
31432,Silt-grit Tally,Curio,Sample Jar,Uncommon,None,Emberford,"Emberford sample jar curio: common among dockhands, often a salt-proofing aid.",curio_silt_grit_tally.png
31433,Salt-stained Leaf,Ingredient,Spice,Common,Herbalism,Hollowroot,"Hollowroot spice ingredient: carried for long treks, often a quest turn-in.",ingredient_salt_stained_leaf.png
31434,Sturdy Chit,Curio,Sample Jar,Uncommon,None,Saltmarrow,"Saltmarrow sample jar curio: common among dockhands, often a salt-proofing aid.",curio_sturdy_chit.png
31435,Mire-touched Pellet,Consumable,Food,Uncommon,Cooking,Hollowroot,"Hollowroot food consumable: common among dockhands, often a crafting reagent.",consumable_mire_touched_pellet.png
31436,Cedar-scented Bracers,Gear,Plate,Common,Enchanting,Saltmarrow,"Saltmarrow plate gear: stains fingers dark, often a camp utility.",gear_cedar_scented_bracers.png
31437,Roughspun Coat of Moss,Gear,Cloth,Common,Cooking,Greatwood,"Greatwood cloth gear: stains fingers dark, often a map clue.",gear_roughspun_coat_of_moss.png
31438,Soot-black Whistle,Curio,Mask,Rare,None,Glimmerdeep,"Glimmerdeep mask curio: traded at night markets, often a crafting reagent.",curio_soot_black_whistle.png
31439,Tin-chimed Mace of Moss,Gear,Shield,Common,Skinning,Greatwood,"Greatwood shield gear: common among dockhands, often a fishing bait.",gear_tin_chimed_mace_of_moss.png
31440,Roughspun Infusion,Consumable,Oil,Common,Fishing,Hollowroot,"Hollowroot oil consumable: used in field repairs, often a trap component.",consumable_roughspun_infusion.png
31441,Pine-sap Stamp,Curio,Token,Common,None,Emberford,"Emberford token curio: a staple in cold camps, often a crafting reagent.",curio_pine_sap_stamp.png
31442,Glowcap Stew,Consumable,Bandage,Uncommon,Blacksmithing,Emberford,"Emberford bandage consumable: sought by apprentices, often a quest turn-in.",consumable_glowcap_stew.png
31443,Frostbit Dispatch,Document,Permit,Uncommon,None,Hollowroot,"Hollowroot permit document: used in field repairs, often a camp utility.",document_frostbit_dispatch.png
31444,Frostbit Tunic of the Wharf,Gear,Shield,Common,Herbalism,Frostbriar,"Frostbriar shield gear: sought by apprentices, often a vendor staple.",gear_frostbit_tunic_of_the_wharf.png
31445,Silt-grit Shield,Gear,Ring,Common,Woodworking,Emberford,"Emberford ring gear: common among dockhands, often a fishing bait.",gear_silt_grit_shield.png
31446,Candle-smoke Note,Document,Permit,Common,None,Hollowroot,"Hollowroot permit document: traded at night markets, often a ritual prop.",document_candle_smoke_note.png
31447,Lanternlit Paste,Material,Ore,Uncommon,Enchanting,Greatwood,"Greatwood ore material: sought by apprentices, often a map clue.",material_lanternlit_paste.png
31448,Iron-banded Shortsword of the Mire,Gear,Plate,Common,Alchemy,Emberford,"Emberford plate gear: used in field repairs, often a map clue.",gear_iron_banded_shortsword_of_the_mire.png
31449,Cedar-scented Sprig,Ingredient,Meat,Uncommon,Enchanting,Saltmarrow,"Saltmarrow meat ingredient: sought by apprentices, often a salt-proofing aid.",ingredient_cedar_scented_sprig.png
31450,Silt-grit Dispatch,Document,Ledger,Rare,None,Hollowroot,"Hollowroot ledger document: kept for superstition, often a salt-proofing aid.",document_silt_grit_dispatch.png
31451,Pine-sap Plank,Material,Cloth,Common,Blacksmithing,Saltmarrow,"Saltmarrow cloth material: common among dockhands, often a ritual prop.",material_pine_sap_plank.png
31452,Roughspun Lens,Curio,Tooling,Rare,None,Frostbriar,"Frostbriar tooling curio: common among dockhands, often a buff ingredient.",curio_roughspun_lens.png
31453,Brine-cured Bandage Roll,Consumable,Bandage,Rare,Engineering,Glimmerdeep,"Glimmerdeep bandage consumable: favored by local scouts, often a salt-proofing aid.",consumable_brine_cured_bandage_roll.png
31454,Briarbound Cap,Ingredient,Herb,Rare,Cooking,Glimmerdeep,"Glimmerdeep herb ingredient: favored by local scouts, often a trap component.",ingredient_briarbound_cap.png
31455,Worn Map Slip,Document,Ledger,Uncommon,None,Frostbriar,"Frostbriar ledger document: used in field repairs, often a ritual prop.",document_worn_map_slip.png
31456,Frostbit Root,Ingredient,Meat,Common,Blacksmithing,Emberford,"Emberford meat ingredient: valued for its clean burn, often a fishing bait.",ingredient_frostbit_root.png
31457,River-smooth Tally,Curio,Token,Common,None,Greatwood,"Greatwood token curio: valued for its clean burn, often a quest turn-in.",curio_river_smooth_tally.png
31458,Worn Plank,Material,Glass,Uncommon,Mining,Greatwood,"Greatwood glass material: sought by apprentices, often a alchemy base.",material_worn_plank.png
31459,Iron-banded Dagger of the Mire,Gear,Necklace,Common,Enchanting,Emberford,"Emberford necklace gear: traded at night markets, often a ritual prop.",gear_iron_banded_dagger_of_the_mire.png
31460,Briarbound Scribble,Document,Ledger,Common,None,Saltmarrow,"Saltmarrow ledger document: traded at night markets, often a vendor staple.",document_briarbound_scribble.png
31461,Brine-cured Note,Document,Letter,Common,None,Hollowroot,"Hollowroot letter document: rings softly when shaken, often a fishing bait.",document_brine_cured_note.png
31462,Glowcap Clasp,Material,Bone,Rare,Mining,Hollowroot,"Hollowroot bone material: stains fingers dark, often a crafting reagent.",material_glowcap_clasp.png
31463,Frostbit Tonic,Consumable,Tonic,Common,Engineering,Emberford,"Emberford tonic consumable: common among dockhands, often a armor patching.",consumable_frostbit_tonic.png
31464,Faded Powder,Material,Resin,Uncommon,Mining,Emberford,"Emberford resin material: rings softly when shaken, often a quest turn-in.",material_faded_powder.png
31465,Kelp-woven Bandage Roll,Consumable,Oil,Common,Herbalism,Glimmerdeep,"Glimmerdeep oil consumable: rings softly when shaken, often a vendor staple.",consumable_kelp_woven_bandage_roll.png
31466,Faded Seed,Ingredient,Fruit,Common,Cooking,Greatwood,"Greatwood fruit ingredient: common among dockhands, often a crafting reagent.",ingredient_faded_seed.png
31467,Pine-sap Page,Document,Map Fragment,Common,None,Emberford,"Emberford map fragment document: stains fingers dark, often a quest turn-in.",document_pine_sap_page.png
31468,Faded Bandage Roll,Consumable,Potion,Common,Skinning,Hollowroot,"Hollowroot potion consumable: kept for superstition, often a crafting reagent.",consumable_faded_bandage_roll.png
31469,Harbor-wet Thread,Material,Stone,Common,Mining,Frostbriar,"Frostbriar stone material: a staple in cold camps, often a buff ingredient.",material_harbor_wet_thread.png
31470,Windworn Permit,Document,Ledger,Common,None,Hollowroot,"Hollowroot ledger document: carried for long treks, often a salt-proofing aid.",document_windworn_permit.png
31471,Harbor-wet Leaf,Ingredient,Fruit,Uncommon,None,Hollowroot,"Hollowroot fruit ingredient: valued for its clean burn, often a crafting reagent.",ingredient_harbor_wet_leaf.png
31472,Tin-chimed Pod,Ingredient,Meat,Common,Woodworking,Greatwood,"Greatwood meat ingredient: carried for long treks, often a vendor staple.",ingredient_tin_chimed_pod.png
31473,Lanternlit Lens,Curio,Token,Common,None,Emberford,"Emberford token curio: sought by apprentices, often a ritual prop.",curio_lanternlit_lens.png
31474,Lanternlit Elixir,Consumable,Salve,Common,Mining,Emberford,"Emberford salve consumable: stains fingers dark, often a trap component.",consumable_lanternlit_elixir.png
31475,Faded Sprig,Ingredient,Meat,Rare,Blacksmithing,Hollowroot,"Hollowroot meat ingredient: valued for its clean burn, often a salt-proofing aid.",ingredient_faded_sprig.png
31476,Windworn Whistle,Curio,Sample Jar,Uncommon,None,Emberford,"Emberford sample jar curio: recommended by old timers, often a alchemy base.",curio_windworn_whistle.png
31477,Mire-touched Rind,Ingredient,Fish,Common,Fishing,Hollowroot,"Hollowroot fish ingredient: sought by apprentices, often a alchemy base.",ingredient_mire_touched_rind.png
31478,Candle-smoke Rind,Ingredient,Root,Common,Woodworking,Glimmerdeep,"Glimmerdeep root ingredient: favored by local scouts, often a fishing bait.",ingredient_candle_smoke_rind.png
31479,Mire-touched Paste,Material,Glass,Uncommon,Mining,Saltmarrow,"Saltmarrow glass material: stains fingers dark, often a trap component.",material_mire_touched_paste.png
31480,Soot-black Dispatch,Document,Permit,Common,None,Emberford,"Emberford permit document: traded at night markets, often a armor patching.",document_soot_black_dispatch.png
31481,Soot-black Marker,Curio,Sample Jar,Common,None,Greatwood,"Greatwood sample jar curio: favored by local scouts, often a map clue.",curio_soot_black_marker.png
31482,Salt-stained Berry,Ingredient,Sap,Uncommon,Alchemy,Hollowroot,"Hollowroot sap ingredient: valued for its clean burn, often a armor patching.",ingredient_salt_stained_berry.png
31483,River-smooth Charm of Ember,Gear,Mace,Common,Enchanting,Hollowroot,"Hollowroot mace gear: kept for superstition, often a crafting reagent.",gear_river_smooth_charm_of_ember.png
31484,Lanternlit Bill,Document,Permit,Common,None,Saltmarrow,"Saltmarrow permit document: rings softly when shaken, often a alchemy base.",document_lanternlit_bill.png
31485,Brine-cured Note,Document,Map Fragment,Rare,None,Frostbriar,"Frostbriar map fragment document: smells faintly of cedar, often a armor patching.",document_brine_cured_note.png
31486,Mossy Memo,Document,Letter,Uncommon,None,Emberford,"Emberford letter document: favored by local scouts, often a trap component.",document_mossy_memo.png
31487,Worn Liniment,Consumable,Oil,Common,Fishing,Emberford,"Emberford oil consumable: a staple in cold camps, often a trap component.",consumable_worn_liniment.png
31488,Cedar-scented Leaf,Ingredient,Sap,Rare,Engineering,Frostbriar,"Frostbriar sap ingredient: used in field repairs, often a quest turn-in.",ingredient_cedar_scented_leaf.png
31489,Worn Receipt,Document,Permit,Common,None,Greatwood,"Greatwood permit document: sought by apprentices, often a map clue.",document_worn_receipt.png
31490,Tin-chimed Cloak,Gear,Bow,Common,Herbalism,Frostbriar,"Frostbriar bow gear: recommended by old timers, often a quest turn-in.",gear_tin_chimed_cloak.png
31491,River-smooth Spore,Ingredient,Grain,Uncommon,Blacksmithing,Emberford,"Emberford grain ingredient: carried for long treks, often a vendor staple.",ingredient_river_smooth_spore.png
31492,Mire-touched Pickle,Consumable,Tea,Common,Woodworking,Greatwood,"Greatwood tea consumable: sought by apprentices, often a buff ingredient.",consumable_mire_touched_pickle.png
31493,Iron-banded Boots of Brine,Gear,Shield,Uncommon,Alchemy,Saltmarrow,"Saltmarrow shield gear: sought by apprentices, often a ritual prop.",gear_iron_banded_boots_of_brine.png
31494,Roughspun Elixir,Consumable,Potion,Common,Skinning,Glimmerdeep,"Glimmerdeep potion consumable: kept for superstition, often a map clue.",consumable_roughspun_elixir.png
31495,Candle-smoke Leaf,Ingredient,Sap,Common,Cooking,Hollowroot,"Hollowroot sap ingredient: packed for storms, often a alchemy base.",ingredient_candle_smoke_leaf.png
31496,Ash-dusted Grit,Ingredient,Meat,Common,None,Glimmerdeep,"Glimmerdeep meat ingredient: kept for superstition, often a quest turn-in.",ingredient_ash_dusted_grit.png
31497,Frostbit Page,Document,Map Fragment,Common,None,Greatwood,"Greatwood map fragment document: kept for superstition, often a alchemy base.",document_frostbit_page.png
31498,Glowcap Strap,Material,Fiber,Common,Engineering,Emberford,"Emberford fiber material: sought by apprentices, often a map clue.",material_glowcap_strap.png
31499,Faded Map Slip,Document,Map Fragment,Common,None,Glimmerdeep,"Glimmerdeep map fragment document: carried for long treks, often a trap component.",document_faded_map_slip.png
31500,Roughspun Tally,Curio,Charm,Uncommon,None,Emberford,"Emberford charm curio: smells faintly of cedar, often a trap component.",curio_roughspun_tally.png
31501,Sturdy Tally,Curio,Tooling,Common,None,Saltmarrow,"Saltmarrow tooling curio: favored by local scouts, often a fishing bait.",curio_sturdy_tally.png
31502,Faded Husk,Material,Cloth,Common,Woodworking,Saltmarrow,"Saltmarrow cloth material: packed for storms, often a crafting reagent.",material_faded_husk.png
31503,Cedar-scented Clasp,Material,Resin,Common,Alchemy,Saltmarrow,"Saltmarrow resin material: traded at night markets, often a camp utility.",material_cedar_scented_clasp.png
31504,Faded Roster,Document,Letter,Common,None,Emberford,"Emberford letter document: a staple in cold camps, often a trap component.",document_faded_roster.png
31505,Candle-smoke Wire,Material,Fiber,Common,Herbalism,Glimmerdeep,"Glimmerdeep fiber material: used in field repairs, often a map clue.",material_candle_smoke_wire.png
31506,Worn Buckler of Silt,Gear,Sword,Rare,Enchanting,Hollowroot,"Hollowroot sword gear: common among dockhands, often a armor patching.",gear_worn_buckler_of_silt.png
31507,Sturdy Marker,Curio,Charm,Rare,None,Hollowroot,"Hollowroot charm curio: favored by local scouts, often a camp utility.",curio_sturdy_marker.png
31508,Brine-cured Warrant,Document,Field Notes,Common,None,Glimmerdeep,"Glimmerdeep field notes document: carried for long treks, often a trap component.",document_brine_cured_warrant.png
31509,Pine-sap Root,Ingredient,Root,Uncommon,Skinning,Frostbriar,"Frostbriar root ingredient: rings softly when shaken, often a camp utility.",ingredient_pine_sap_root.png
31510,Candle-smoke Staff of Ember,Gear,Shield,Uncommon,Blacksmithing,Glimmerdeep,"Glimmerdeep shield gear: used in field repairs, often a armor patching.",gear_candle_smoke_staff_of_ember.png
31511,Pine-sap Permit,Document,Letter,Rare,None,Saltmarrow,"Saltmarrow letter document: used in field repairs, often a buff ingredient.",document_pine_sap_permit.png
31512,Lanternlit Helm of Moss,Gear,Staff,Common,None,Hollowroot,"Hollowroot staff gear: favored by local scouts, often a ritual prop.",gear_lanternlit_helm_of_moss.png
31513,Worn Stamen,Ingredient,Grain,Uncommon,Enchanting,Emberford,"Emberford grain ingredient: sought by apprentices, often a buff ingredient.",ingredient_worn_stamen.png
31514,Ash-dusted Buckler of the Mire,Gear,Sword,Common,Fishing,Hollowroot,"Hollowroot sword gear: recommended by old timers, often a crafting reagent.",gear_ash_dusted_buckler_of_the_mire.png
31515,Kelp-woven Bark,Ingredient,Herb,Rare,Alchemy,Glimmerdeep,"Glimmerdeep herb ingredient: packed for storms, often a salt-proofing aid.",ingredient_kelp_woven_bark.png
31516,Ash-dusted Knot,Ingredient,Tea Leaf,Common,None,Glimmerdeep,"Glimmerdeep tea leaf ingredient: a staple in cold camps, often a alchemy base.",ingredient_ash_dusted_knot.png
31517,Mossy Dispatch,Document,Permit,Rare,None,Glimmerdeep,"Glimmerdeep permit document: carried for long treks, often a trap component.",document_mossy_dispatch.png
31518,Kelp-woven Stamp,Curio,Game Piece,Common,None,Hollowroot,"Hollowroot game piece curio: a staple in cold camps, often a camp utility.",curio_kelp_woven_stamp.png
31519,Harbor-wet Spore,Ingredient,Sap,Common,Engineering,Emberford,"Emberford sap ingredient: packed for storms, often a fishing bait.",ingredient_harbor_wet_spore.png
31520,Salt-stained Roster,Document,Map Fragment,Common,None,Glimmerdeep,"Glimmerdeep map fragment document: valued for its clean burn, often a buff ingredient.",document_salt_stained_roster.png
31521,Soot-black Bow of Brine,Gear,Axe,Common,Engineering,Emberford,"Emberford axe gear: common among dockhands, often a vendor staple.",gear_soot_black_bow_of_brine.png
31522,Mire-touched Stew,Consumable,Bandage,Common,None,Saltmarrow,"Saltmarrow bandage consumable: recommended by old timers, often a armor patching.",consumable_mire_touched_stew.png
31523,Frostbit Shield of the Trail,Gear,Leather,Common,Engineering,Greatwood,"Greatwood leather gear: carried for long treks, often a crafting reagent.",gear_frostbit_shield_of_the_trail.png
31524,Soot-black Token,Curio,Sample Jar,Common,None,Emberford,"Emberford sample jar curio: carried for long treks, often a crafting reagent.",curio_soot_black_token.png
31525,Mire-touched Sash of the Wharf,Gear,Plate,Uncommon,Mining,Emberford,"Emberford plate gear: stains fingers dark, often a armor patching.",gear_mire_touched_sash_of_the_wharf.png
31526,Cedar-scented Warrant,Document,Ledger,Uncommon,None,Emberford,"Emberford ledger document: favored by local scouts, often a salt-proofing aid.",document_cedar_scented_warrant.png
31527,River-smooth Cloak of Frost,Gear,Dagger,Uncommon,Mining,Glimmerdeep,"Glimmerdeep dagger gear: favored by local scouts, often a armor patching.",gear_river_smooth_cloak_of_frost.png
31528,Silt-grit Bill,Document,Ledger,Rare,None,Glimmerdeep,"Glimmerdeep ledger document: a staple in cold camps, often a camp utility.",document_silt_grit_bill.png
31529,Roughspun Elixir,Consumable,Salve,Common,Engineering,Saltmarrow,"Saltmarrow salve consumable: valued for its clean burn, often a crafting reagent.",consumable_roughspun_elixir.png
31530,Faded Shard,Material,Ore,Common,Herbalism,Glimmerdeep,"Glimmerdeep ore material: traded at night markets, often a vendor staple.",material_faded_shard.png
31531,Windworn Husk,Material,Resin,Uncommon,Herbalism,Emberford,"Emberford resin material: favored by local scouts, often a trap component.",material_windworn_husk.png
31532,Kelp-woven Sash of Silt,Gear,Shield,Uncommon,Herbalism,Saltmarrow,"Saltmarrow shield gear: favored by local scouts, often a buff ingredient.",gear_kelp_woven_sash_of_silt.png
31533,Pine-sap Voucher,Document,Letter,Common,None,Emberford,"Emberford letter document: common among dockhands, often a quest turn-in.",document_pine_sap_voucher.png
31534,Pine-sap Scrap,Material,Ore,Common,Woodworking,Greatwood,"Greatwood ore material: packed for storms, often a quest turn-in.",material_pine_sap_scrap.png
31535,Soot-black Petal,Ingredient,Root,Common,None,Greatwood,"Greatwood root ingredient: kept for superstition, often a salt-proofing aid.",ingredient_soot_black_petal.png
31536,Harbor-wet Strap,Material,Glass,Common,Woodworking,Greatwood,"Greatwood glass material: a staple in cold camps, often a fishing bait.",material_harbor_wet_strap.png
31537,Frostbit Leaf,Ingredient,Herb,Common,None,Hollowroot,"Hollowroot herb ingredient: carried for long treks, often a vendor staple.",ingredient_frostbit_leaf.png
31538,Roughspun Charm,Curio,Mask,Common,None,Saltmarrow,"Saltmarrow mask curio: sought by apprentices, often a camp utility.",curio_roughspun_charm.png
31539,Silt-grit Lens,Curio,Mask,Common,None,Saltmarrow,"Saltmarrow mask curio: carried for long treks, often a salt-proofing aid.",curio_silt_grit_lens.png
31540,Kelp-woven Bracers of the Trail,Gear,Leather,Uncommon,Alchemy,Emberford,"Emberford leather gear: sought by apprentices, often a armor patching.",gear_kelp_woven_bracers_of_the_trail.png
31541,Brine-cured Badge,Curio,Sample Jar,Common,None,Frostbriar,"Frostbriar sample jar curio: a staple in cold camps, often a quest turn-in.",curio_brine_cured_badge.png
31542,Mire-touched Greaves of Moss,Gear,Sword,Rare,Alchemy,Frostbriar,"Frostbriar sword gear: rings softly when shaken, often a buff ingredient.",gear_mire_touched_greaves_of_moss.png
31543,Harbor-wet Memo,Document,Letter,Common,None,Greatwood,"Greatwood letter document: recommended by old timers, often a quest turn-in.",document_harbor_wet_memo.png
31544,Salt-stained Note,Document,Map Fragment,Common,None,Saltmarrow,"Saltmarrow map fragment document: smells faintly of cedar, often a vendor staple.",document_salt_stained_note.png
31545,River-smooth Paste,Material,Resin,Common,Blacksmithing,Frostbriar,"Frostbriar resin material: common among dockhands, often a buff ingredient.",material_river_smooth_paste.png
31546,Kelp-woven Handaxe of Brine,Gear,Trinket,Common,Mining,Glimmerdeep,"Glimmerdeep trinket gear: favored by local scouts, often a vendor staple.",gear_kelp_woven_handaxe_of_brine.png
31547,Soot-black Figurine,Curio,Mask,Uncommon,None,Glimmerdeep,"Glimmerdeep mask curio: sought by apprentices, often a armor patching.",curio_soot_black_figurine.png
31548,Candle-smoke Paste,Material,Fiber,Common,Alchemy,Hollowroot,"Hollowroot fiber material: kept for superstition, often a salt-proofing aid.",material_candle_smoke_paste.png
31549,Silt-grit Knot,Curio,Keepsake,Common,None,Saltmarrow,"Saltmarrow keepsake curio: rings softly when shaken, often a armor patching.",curio_silt_grit_knot.png
31550,Frostbit Knot,Curio,Tooling,Common,None,Frostbriar,"Frostbriar tooling curio: recommended by old timers, often a ritual prop.",curio_frostbit_knot.png
31551,Ash-dusted Mace of the Wharf,Gear,Mail,Common,Cooking,Emberford,"Emberford mail gear: sought by apprentices, often a crafting reagent.",gear_ash_dusted_mace_of_the_wharf.png
31552,Roughspun Bolt,Material,Salt,Common,Alchemy,Hollowroot,"Hollowroot salt material: packed for storms, often a map clue.",material_roughspun_bolt.png
31553,Frostbit Infusion,Consumable,Food,Common,Woodworking,Glimmerdeep,"Glimmerdeep food consumable: rings softly when shaken, often a trap component.",consumable_frostbit_infusion.png
31554,Silt-grit Memo,Document,Letter,Rare,None,Hollowroot,"Hollowroot letter document: kept for superstition, often a crafting reagent.",document_silt_grit_memo.png
31555,Harbor-wet Coat of the Trail,Gear,Necklace,Common,None,Saltmarrow,"Saltmarrow necklace gear: a staple in cold camps, often a ritual prop.",gear_harbor_wet_coat_of_the_trail.png
31556,Kelp-woven Tallow,Material,Stone,Common,Cooking,Greatwood,"Greatwood stone material: kept for superstition, often a ritual prop.",material_kelp_woven_tallow.png
31557,Cedar-scented Cord,Curio,Token,Common,None,Frostbriar,"Frostbriar token curio: valued for its clean burn, often a trap component.",curio_cedar_scented_cord.png
31558,Briarbound Strap,Material,Wood,Uncommon,Cooking,Glimmerdeep,"Glimmerdeep wood material: common among dockhands, often a alchemy base.",material_briarbound_strap.png
31559,Mire-touched Rind,Ingredient,Fruit,Uncommon,Blacksmithing,Glimmerdeep,"Glimmerdeep fruit ingredient: traded at night markets, often a vendor staple.",ingredient_mire_touched_rind.png
31560,Mire-touched Pauldrons,Gear,Plate,Common,Enchanting,Emberford,"Emberford plate gear: valued for its clean burn, often a map clue.",gear_mire_touched_pauldrons.png
31561,River-smooth Wire,Material,Resin,Common,Cooking,Emberford,"Emberford resin material: packed for storms, often a vendor staple.",material_river_smooth_wire.png
31562,Briarbound Cap,Ingredient,Fish,Uncommon,Enchanting,Frostbriar,"Frostbriar fish ingredient: favored by local scouts, often a fishing bait.",ingredient_briarbound_cap.png
31563,Pine-sap Bandage Roll,Consumable,Food,Uncommon,Woodworking,Glimmerdeep,"Glimmerdeep food consumable: traded at night markets, often a armor patching.",consumable_pine_sap_bandage_roll.png
31564,Worn Scrap,Material,Glass,Common,Herbalism,Hollowroot,"Hollowroot glass material: a staple in cold camps, often a ritual prop.",material_worn_scrap.png
31565,Kelp-woven Whistle,Curio,Token,Common,None,Saltmarrow,"Saltmarrow token curio: kept for superstition, often a quest turn-in.",curio_kelp_woven_whistle.png
31566,Ash-dusted Dispatch,Document,Permit,Common,None,Greatwood,"Greatwood permit document: sought by apprentices, often a crafting reagent.",document_ash_dusted_dispatch.png
31567,Harbor-wet Stamp,Curio,Keepsake,Common,None,Frostbriar,"Frostbriar keepsake curio: valued for its clean burn, often a buff ingredient.",curio_harbor_wet_stamp.png
31568,Tin-chimed Memo,Document,Letter,Common,None,Frostbriar,"Frostbriar letter document: rings softly when shaken, often a map clue.",document_tin_chimed_memo.png
31569,Tin-chimed Infusion,Consumable,Tonic,Uncommon,Skinning,Hollowroot,"Hollowroot tonic consumable: a staple in cold camps, often a armor patching.",consumable_tin_chimed_infusion.png
31570,Briarbound Ration,Consumable,Bandage,Common,Fishing,Hollowroot,"Hollowroot bandage consumable: smells faintly of cedar, often a quest turn-in.",consumable_briarbound_ration.png
31571,Salt-stained Token,Curio,Token,Common,None,Hollowroot,"Hollowroot token curio: traded at night markets, often a salt-proofing aid.",curio_salt_stained_token.png
31572,Harbor-wet Liniment,Consumable,Tea,Common,Fishing,Glimmerdeep,"Glimmerdeep tea consumable: valued for its clean burn, often a buff ingredient.",consumable_harbor_wet_liniment.png
31573,Tin-chimed Nail,Material,Salt,Common,None,Greatwood,"Greatwood salt material: traded at night markets, often a fishing bait.",material_tin_chimed_nail.png
31574,Kelp-woven Nail,Material,Ore,Common,Mining,Saltmarrow,"Saltmarrow ore material: rings softly when shaken, often a armor patching.",material_kelp_woven_nail.png
31575,Cedar-scented Elixir,Consumable,Food,Uncommon,Woodworking,Emberford,"Emberford food consumable: valued for its clean burn, often a crafting reagent.",consumable_cedar_scented_elixir.png
31576,Harbor-wet Scrap,Material,Fiber,Common,Cooking,Glimmerdeep,"Glimmerdeep fiber material: favored by local scouts, often a salt-proofing aid.",material_harbor_wet_scrap.png
31577,Silt-grit Stew,Consumable,Tea,Rare,Alchemy,Greatwood,"Greatwood tea consumable: valued for its clean burn, often a buff ingredient.",consumable_silt_grit_stew.png
31578,Tin-chimed Permit,Document,Field Notes,Uncommon,None,Saltmarrow,"Saltmarrow field notes document: packed for storms, often a trap component.",document_tin_chimed_permit.png
31579,Candle-smoke Grit,Ingredient,Spice,Common,None,Frostbriar,"Frostbriar spice ingredient: kept for superstition, often a trap component.",ingredient_candle_smoke_grit.png
31580,Glowcap Sash of Frost,Gear,Plate,Uncommon,Enchanting,Greatwood,"Greatwood plate gear: carried for long treks, often a fishing bait.",gear_glowcap_sash_of_frost.png
31581,Brine-cured Leaf,Ingredient,Herb,Uncommon,Alchemy,Greatwood,"Greatwood herb ingredient: carried for long treks, often a buff ingredient.",ingredient_brine_cured_leaf.png
31582,Kelp-woven Thread,Material,Hide,Uncommon,Fishing,Glimmerdeep,"Glimmerdeep hide material: sought by apprentices, often a crafting reagent.",material_kelp_woven_thread.png
31583,Tin-chimed Figurine,Curio,Game Piece,Uncommon,None,Frostbriar,"Frostbriar game piece curio: carried for long treks, often a salt-proofing aid.",curio_tin_chimed_figurine.png
31584,Mossy Buckler,Gear,Shield,Common,Enchanting,Saltmarrow,"Saltmarrow shield gear: common among dockhands, often a map clue.",gear_mossy_buckler.png
31585,Briarbound Pin,Curio,Sample Jar,Common,None,Greatwood,"Greatwood sample jar curio: used in field repairs, often a trap component.",curio_briarbound_pin.png
31586,Glowcap Biscuit,Consumable,Tonic,Common,Alchemy,Emberford,"Emberford tonic consumable: sought by apprentices, often a crafting reagent.",consumable_glowcap_biscuit.png
31587,Faded Memo,Document,Permit,Common,None,Emberford,"Emberford permit document: common among dockhands, often a armor patching.",document_faded_memo.png
31588,Salt-stained Bill,Document,Field Notes,Uncommon,None,Emberford,"Emberford field notes document: a staple in cold camps, often a salt-proofing aid.",document_salt_stained_bill.png
31589,Faded Bracers of Ember,Gear,Mail,Common,Woodworking,Emberford,"Emberford mail gear: carried for long treks, often a fishing bait.",gear_faded_bracers_of_ember.png
